,account,date,text,compound,positive,neutral,negative
0,BBC,Sun Jan 14 20:15:03 +0000 2018,Britain is the only place in the world with a medieval Coronation ceremony. ?? #TheCoronation https://t.co/WJfENrXnu3,0.0,0.0,1.0,0.0
1,BBC,Sun Jan 14 20:00:09 +0000 2018,"Long nights, snowshoes and a broken down boat... 

??? This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",-0.079,0.128,0.731,0.142
2,BBC,Sun Jan 14 19:30:08 +0000 2018,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",-0.2023,0.141,0.677,0.182
3,BBC,Sun Jan 14 19:00:07 +0000 2018,"No sympathy from the camera operator at all. ?
https://t.co/cQF64ofzMz",0.0772,0.214,0.598,0.188
4,BBC,Sun Jan 14 18:33:04 +0000 2018,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. ?

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",0.296,0.109,0.891,0.0
5,BBC,Sun Jan 14 18:00:06 +0000 2018,??? Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,-0.0772,0.0,0.902,0.098
6,BBC,Sun Jan 14 17:30:08 +0000 2018,"Rusty spotted cats are super rare, super small and super adorable. ?

#BigCats https://t.co/PgIC5WfdaJ",0.9423,0.623,0.377,0.0
7,BBC,Sun Jan 14 17:02:03 +0000 2018,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! ??

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",0.2003,0.095,0.905,0.0
8,BBC,Sun Jan 14 16:30:09 +0000 2018,"? @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",-0.4767,0.0,0.838,0.162
9,BBC,Sun Jan 14 16:00:06 +0000 2018,"In Greenland, you can find a shark that could live for hundreds of years. ?? https://t.co/kc08HclHef",0.0,0.0,1.0,0.0
10,BBC,Sun Jan 14 15:00:10 +0000 2018,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,-0.1027,0.095,0.789,0.116
11,BBC,Sun Jan 14 14:00:04 +0000 2018,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy",0.0,0.0,1.0,0.0
12,BBC,Sun Jan 14 13:26:03 +0000 2018,"? Thrillers, comedy and foreign drama.

? @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij",0.7264,0.321,0.679,0.0
13,BBC,Sun Jan 14 13:03:04 +0000 2018,"Nominations for the BBC Food and Farming Awards 2018 are now open! ??

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R",0.5093,0.141,0.859,0.0
14,BBC,Sun Jan 14 12:30:07 +0000 2018,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,-0.765,0.0,0.694,0.306
15,BBC,Sun Jan 14 12:00:07 +0000 2018,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q",0.0,0.0,1.0,0.0
16,BBC,Sun Jan 14 11:30:09 +0000 2018,Snow has fallen in the Sahara desert. ?? https://t.co/804PRapagA https://t.co/g3lQIY7l9O,-0.3612,0.0,0.783,0.217
17,BBC,Sun Jan 14 11:18:04 +0000 2018,"RT @bbcmusic: Happy Birthday Dave Grohl! ???

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch ? https://t.co/4lk…",0.8803,0.338,0.662,0.0
18,BBC,Sun Jan 14 11:03:03 +0000 2018,??? Here's what the weather looked like around the world this week. ?  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,0.3612,0.161,0.839,0.0
19,BBC,Sun Jan 14 10:42:37 +0000 2018,"RT @BBCRadio4: ? Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X",0.8113,0.401,0.599,0.0
20,BBC,Sun Jan 14 20:15:03 +0000 2018,Britain is the only place in the world with a medieval Coronation ceremony. ?? #TheCoronation https://t.co/WJfENrXnu3,0.0,0.0,1.0,0.0
21,BBC,Sun Jan 14 20:00:09 +0000 2018,"Long nights, snowshoes and a broken down boat... 

??? This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",-0.079,0.128,0.731,0.142
22,BBC,Sun Jan 14 19:30:08 +0000 2018,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",-0.2023,0.141,0.677,0.182
23,BBC,Sun Jan 14 19:00:07 +0000 2018,"No sympathy from the camera operator at all. ?
https://t.co/cQF64ofzMz",0.0772,0.214,0.598,0.188
24,BBC,Sun Jan 14 18:33:04 +0000 2018,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. ?

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",0.296,0.109,0.891,0.0
25,BBC,Sun Jan 14 18:00:06 +0000 2018,??? Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,-0.0772,0.0,0.902,0.098
26,BBC,Sun Jan 14 17:30:08 +0000 2018,"Rusty spotted cats are super rare, super small and super adorable. ?

#BigCats https://t.co/PgIC5WfdaJ",0.9423,0.623,0.377,0.0
27,BBC,Sun Jan 14 17:02:03 +0000 2018,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! ??

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",0.2003,0.095,0.905,0.0
28,BBC,Sun Jan 14 16:30:09 +0000 2018,"? @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",-0.4767,0.0,0.838,0.162
29,BBC,Sun Jan 14 16:00:06 +0000 2018,"In Greenland, you can find a shark that could live for hundreds of years. ?? https://t.co/kc08HclHef",0.0,0.0,1.0,0.0
30,BBC,Sun Jan 14 15:00:10 +0000 2018,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,-0.1027,0.095,0.789,0.116
